n_cubes,overlap,clusterer,n_nodes,n_edges,n_components,n_cycles,overlap_ratio,mean_node_size,size_cv,graph_density,lcc_fraction,node_cohesion,cat_separation,size_penalty,composite_score,penalised_score
12,0.3,AdaptiveAgglom,1291,1053,580,342,0.4663,2.06,1.7896,0.0013,0.0449,0.0944,0.4878,0.0,0.4148,0.0
12,0.25,AdaptiveAgglom,1128,762,570,204,0.3967,2.09,1.7559,0.0012,0.0399,0.0861,0.4883,0.0,0.3952,0.0
12,0.2,AdaptiveAgglom,998,529,573,104,0.331,2.13,1.7358,0.0011,0.0331,0.0814,0.4836,0.0,0.3761,0.0
12,0.15,AdaptiveAgglom,893,351,599,57,0.2508,2.12,1.6704,0.0009,0.0269,0.1183,0.4861,0.0,0.3892,0.0
12,0.1,AdaptiveAgglom,812,217,617,22,0.174,2.12,1.7042,0.0007,0.0209,0.1303,0.4861,0.0,0.3831,0.0
11,0.6,HDBSCAN,556,1791,53,1288,0.7743,9.62,1.9492,0.0116,0.1763,-0.0031,0.1144,0.0001,0.2929,0.0
11,0.55,AdaptiveAgglom,3135,6748,560,4173,0.7622,1.9,2.1098,0.0014,0.0443,0.096,0.5358,0.0,0.4848,0.0
11,0.5,AdaptiveAgglom,2570,3936,581,1947,0.7093,1.9,2.0488,0.0012,0.0432,0.0886,0.5396,0.0,0.4712,0.0
11,0.45,AdaptiveAgglom,2112,2838,585,1311,0.6536,1.94,2.0893,0.0013,0.0455,0.0669,0.5287,0.0,0.4421,0.0
11,0.4,AdaptiveAgglom,1765,2015,602,852,0.5915,1.97,1.9941,0.0013,0.0306,0.0829,0.5158,0.0,0.4322,0.0
11,0.35,AdaptiveAgglom,1516,1444,615,543,0.5261,1.97,1.9175,0.0013,0.0277,0.1207,0.5101,0.0,0.4463,0.0
11,0.85,AdaptiveAgglom,22453,342347,687,320581,0.9632,1.72,2.4159,0.0014,0.0226,0.1004,0.5916,0.0,0.6085,0.0
11,0.85,HDBSCAN,3130,50768,55,47693,0.9539,8.01,2.1998,0.0104,0.3201,0.0622,0.1418,0.0,0.455,0.0
12,0.7,HDBSCAN,946,4973,54,4081,0.8593,8.87,2.0763,0.0111,0.3658,0.0068,0.1324,0.0,0.4033,0.0
12,0.65,AdaptiveAgglom,5167,17737,604,13174,0.8506,1.84,2.2711,0.0013,0.0592,0.0793,0.5516,0.0,0.5017,0.0
12,0.65,HDBSCAN,629,2697,35,2103,0.8195,11.25,2.0131,0.0137,0.3339,-0.025,0.0945,0.0,0.343,0.0
12,0.6,AdaptiveAgglom,4042,11367,588,7913,0.8131,1.88,2.1507,0.0014,0.0621,0.0962,0.5416,0.0,0.5042,0.0
12,0.6,HDBSCAN,547,1961,47,1461,0.7806,10.06,1.8024,0.0131,0.2066,0.0183,0.1097,0.0001,0.3211,0.0
12,0.55,AdaptiveAgglom,3221,7194,569,4542,0.7691,1.91,2.1263,0.0014,0.0491,0.093,0.529,0.0,0.483,0.0
12,0.5,AdaptiveAgglom,2548,3996,568,2016,0.7163,1.96,2.0123,0.0012,0.0224,0.096,0.5131,0.0,0.4581,0.0
12,0.45,AdaptiveAgglom,2047,2723,584,1260,0.6527,2.0,1.9167,0.0013,0.0322,0.1065,0.5104,0.0,0.4585,0.0
12,0.4,AdaptiveAgglom,1723,1984,582,843,0.5946,2.03,1.9155,0.0013,0.0226,0.0952,0.4955,0.0,0.4301,0.0
12,0.35,AdaptiveAgglom,1514,1494,593,573,0.5372,2.03,1.8242,0.0013,0.0225,0.0951,0.4982,0.0,0.4217,0.0
11,0.3,AdaptiveAgglom,1329,1010,645,326,0.4611,1.98,1.8954,0.0011,0.0196,0.1209,0.5121,0.0,0.4332,0.0
11,0.25,AdaptiveAgglom,1177,732,655,210,0.4003,2.01,1.8111,0.0011,0.0195,0.1009,0.5075,0.0,0.4062,0.0
11,0.2,AdaptiveAgglom,1015,542,623,150,0.3269,2.08,1.7973,0.0011,0.0305,0.1114,0.4842,0.0,0.3971,0.0
10,0.7,AdaptiveAgglom,6827,32003,644,25820,0.883,1.78,2.3119,0.0014,0.048,0.1138,0.5718,0.0,0.5395,0.0
10,0.7,HDBSCAN,889,4923,58,4092,0.8631,9.64,2.3597,0.0125,0.3026,0.013,0.1184,0.0,0.3758,0.0
10,0.65,AdaptiveAgglom,4850,15549,579,11278,0.841,1.84,2.3266,0.0013,0.033,0.0981,0.5511,0.0,0.5024,0.0
10,0.65,HDBSCAN,682,2500,58,1876,0.8156,9.1,2.0776,0.0108,0.2639,-0.0045,0.1237,0.0,0.34,0.0
10,0.6,AdaptiveAgglom,3777,9367,616,6206,0.7978,1.86,2.2619,0.0013,0.0265,0.1074,0.5438,0.0,0.4954,0.0
12,0.85,AdaptiveAgglom,23066,359866,705,337505,0.9643,1.73,2.3964,0.0014,0.0156,0.1158,0.5886,0.0,0.62,0.0
12,0.85,HDBSCAN,3228,54318,62,51152,0.9555,7.98,2.2955,0.0104,0.3343,0.0149,0.1414,0.0,0.4263,0.0
12,0.85,AdaptiveDBSCAN,1769,27193,60,25484,0.9573,9.7,1.2763,0.0174,0.0588,0.137,0.1043,0.0,0.3795,0.0
12,0.8,AdaptiveAgglom,14688,142947,707,128966,0.9445,1.74,2.3648,0.0013,0.017,0.1197,0.5855,0.0,0.5705,0.0
12,0.8,HDBSCAN,1961,22184,61,20284,0.9327,8.75,2.4885,0.0115,0.3182,-0.01,0.1288,0.0,0.3845,0.0
12,0.8,AdaptiveDBSCAN,1117,10568,62,9513,0.934,9.94,1.2306,0.017,0.06,0.1393,0.1057,0.0,0.3748,0.0
12,0.75,AdaptiveAgglom,9532,62569,585,53622,0.9169,1.79,2.3003,0.0014,0.0261,0.1056,0.5665,0.0,0.5338,0.0
12,0.75,HDBSCAN,1378,10085,58,8765,0.8976,8.38,2.0947,0.0106,0.2707,0.0143,0.1369,0.0,0.3775,0.0
12,0.75,AdaptiveDBSCAN,762,5054,54,4346,0.8899,10.18,1.1424,0.0174,0.0722,0.1077,0.0989,0.0,0.345,0.0
12,0.7,AdaptiveAgglom,6709,30900,593,24784,0.8836,1.82,2.2913,0.0014,0.0368,0.1211,0.5605,0.0,0.5354,0.0
10,0.4,AdaptiveAgglom,1919,2278,620,979,0.6109,1.9,2.0408,0.0012,0.025,0.0973,0.5321,0.0,0.4506,0.0
10,0.35,AdaptiveAgglom,1681,1764,624,707,0.5546,1.9,1.9636,0.0012,0.0512,0.0877,0.5356,0.0,0.4468,0.0
13,0.3,AdaptiveAgglom,1329,1263,547,481,0.4918,2.1,1.7714,0.0014,0.0263,0.0891,0.4776,0.0,0.4028,0.0
13,0.25,AdaptiveAgglom,1148,886,563,301,0.4097,2.09,1.7674,0.0013,0.0235,0.0871,0.483,0.0,0.3889,0.0
13,0.2,AdaptiveAgglom,1016,609,585,178,0.3316,2.09,1.7224,0.0012,0.0177,0.0958,0.4838,0.0,0.3805,0.0
13,0.15,AdaptiveAgglom,905,435,580,110,0.2668,2.14,1.7139,0.0011,0.0188,0.0963,0.4745,0.0,0.3669,0.0
13,0.1,AdaptiveAgglom,830,300,594,64,0.2007,2.14,1.6448,0.0009,0.0145,0.126,0.476,0.0,0.3773,0.0
10,0.85,AdaptiveAgglom,21365,307168,704,286507,0.9615,1.73,2.4359,0.0013,0.0184,0.0961,0.5903,0.0,0.5948,0.0
10,0.85,HDBSCAN,2915,45124,62,42271,0.9516,8.29,2.3412,0.0106,0.2724,0.0678,0.1374,0.0,0.4354,0.0
10,0.85,AdaptiveDBSCAN,1606,22759,55,21208,0.9541,9.83,1.3006,0.0177,0.0672,0.1094,0.1052,0.0,0.3612,0.0
10,0.8,AdaptiveAgglom,13584,122377,703,109496,0.9398,1.73,2.3827,0.0013,0.0168,0.1014,0.5874,0.0,0.5521,0.0
10,0.8,HDBSCAN,1884,18434,63,16613,0.9267,8.23,2.2663,0.0104,0.3275,0.0036,0.1394,0.0,0.4013,0.0
10,0.8,AdaptiveDBSCAN,1042,9158,60,8176,0.9287,9.81,1.2551,0.0169,0.0585,0.1503,0.1081,0.0,0.3823,0.0
10,0.75,AdaptiveAgglom,9373,57835,694,49156,0.9127,1.73,2.3551,0.0013,0.0186,0.0761,0.5854,0.0,0.5145,0.0
10,0.75,HDBSCAN,1346,9197,58,7909,0.8886,7.8,2.2469,0.0102,0.3952,-0.0181,0.1454,0.0,0.4081,0.0
10,0.75,AdaptiveDBSCAN,720,4389,57,3726,0.8957,9.85,1.2239,0.017,0.0625,0.1413,0.1042,0.0,0.3692,0.0
13,0.65,AdaptiveAgglom,5148,17992,579,13423,0.8521,1.86,2.2206,0.0014,0.0276,0.1044,0.5457,0.0,0.5049,0.0
13,0.65,HDBSCAN,722,2987,51,2316,0.8243,9.64,1.9464,0.0115,0.2368,-0.021,0.1203,0.0,0.3161,0.0
13,0.6,AdaptiveAgglom,3876,10824,559,7507,0.8107,1.93,2.1506,0.0014,0.0454,0.078,0.5267,0.0,0.4766,0.0
13,0.6,HDBSCAN,560,1940,48,1428,0.7787,9.71,1.7936,0.0124,0.1821,0.0039,0.1155,0.0001,0.3019,0.0
13,0.55,AdaptiveAgglom,3137,6937,575,4375,0.7684,1.95,2.0449,0.0014,0.0367,0.1047,0.5191,0.0,0.4822,0.0
13,0.5,AdaptiveAgglom,2539,4012,566,2039,0.7188,1.99,2.0229,0.0012,0.0398,0.103,0.5111,0.0,0.4703,0.0
13,0.45,AdaptiveAgglom,2130,2896,599,1365,0.6653,1.99,1.913,0.0013,0.038,0.1064,0.5129,0.0,0.464,0.0
13,0.4,AdaptiveAgglom,1816,2202,580,966,0.6134,2.02,1.8695,0.0013,0.0281,0.0906,0.5018,0.0,0.4347,0.0
13,0.35,AdaptiveAgglom,1593,1751,565,723,0.5634,2.04,1.8308,0.0014,0.0289,0.0914,0.4945,0.0,0.4244,0.0
10,0.55,AdaptiveAgglom,3082,6103,608,3629,0.7511,1.85,2.1951,0.0013,0.0324,0.1209,0.5514,0.0,0.503,0.0
10,0.5,AdaptiveAgglom,2557,3802,618,1863,0.7015,1.86,2.1481,0.0012,0.0207,0.0869,0.5458,0.0,0.4616,0.0
10,0.45,AdaptiveAgglom,2212,2940,628,1356,0.658,1.88,2.1155,0.0012,0.0267,0.1371,0.5402,0.0,0.4924,0.0
10,0.25,AdaptiveAgglom,1245,928,614,297,0.425,1.98,1.955,0.0012,0.0594,0.0849,0.5112,0.0,0.4168,0.0
10,0.2,AdaptiveAgglom,1057,599,606,148,0.3397,2.03,1.8921,0.0011,0.0464,0.1334,0.4951,0.0,0.4271,0.0
10,0.15,AdaptiveAgglom,934,405,614,85,0.2613,2.06,1.8815,0.0009,0.0364,0.1315,0.493,0.0,0.4077,0.0
10,0.1,AdaptiveAgglom,838,245,622,29,0.1779,2.06,1.8274,0.0007,0.031,0.1221,0.494,0.0,0.3851,0.0
13,0.85,AdaptiveAgglom,23735,382373,691,359329,0.9655,1.73,2.4146,0.0014,0.0202,0.1189,0.5877,0.0,0.6292,0.0
13,0.85,HDBSCAN,3359,58808,49,55498,0.955,7.94,2.2593,0.0104,0.3504,-0.0013,0.1437,0.0,0.4229,0.0
13,0.85,AdaptiveDBSCAN,1825,28827,60,27062,0.9581,9.76,1.2838,0.0173,0.0685,0.1249,0.1075,0.0,0.3764,0.0
13,0.8,AdaptiveAgglom,14798,148425,659,134286,0.9456,1.76,2.3409,0.0014,0.0376,0.106,0.5792,0.0,0.5677,0.0
13,0.8,HDBSCAN,2118,23379,72,21333,0.9336,8.15,2.2811,0.0104,0.2979,0.0265,0.1408,0.0,0.4087,0.0
13,0.8,AdaptiveDBSCAN,1150,11965,48,10863,0.9343,10.03,1.1963,0.0181,0.1009,0.1176,0.1049,0.0,0.376,0.0
13,0.75,AdaptiveAgglom,9571,64035,558,55022,0.9181,1.81,2.3211,0.0014,0.0537,0.0858,0.5608,0.0,0.5288,0.0
13,0.75,HDBSCAN,1304,10063,33,8792,0.8971,9.31,2.3286,0.0118,0.3413,-0.038,0.1205,0.0,0.3614,0.0
13,0.75,AdaptiveDBSCAN,745,5075,45,4375,0.8902,10.65,1.1164,0.0183,0.1047,0.0696,0.0956,0.0,0.3289,0.0
13,0.7,AdaptiveAgglom,6851,32945,575,26669,0.887,1.83,2.2582,0.0014,0.0366,0.0784,0.5537,0.0,0.5013,0.0
13,0.7,HDBSCAN,949,5471,40,4562,0.8606,9.26,2.0308,0.0122,0.3625,-0.0249,0.1212,0.0,0.3737,0.0
9,0.8,AdaptiveDBSCAN,1002,8328,61,7387,0.9238,9.7,1.2775,0.0166,0.0599,0.118,0.106,0.0,0.3567,0.0
9,0.75,AdaptiveAgglom,9291,56051,720,47480,0.911,1.72,2.3933,0.0013,0.0149,0.1603,0.5918,0.0,0.5783,0.0
9,0.75,HDBSCAN,1271,8351,63,7143,0.8904,8.3,2.3721,0.0103,0.3847,0.0053,0.1378,0.0,0.4182,0.0
9,0.75,AdaptiveDBSCAN,673,3952,56,3335,0.8958,10.08,1.2424,0.0175,0.0609,0.1471,0.1008,0.0,0.3714,0.0
9,0.7,AdaptiveAgglom,6701,30613,681,24593,0.8801,1.77,2.3792,0.0014,0.0349,0.1228,0.5755,0.0,0.5415,0.0
9,0.7,HDBSCAN,907,4881,57,4031,0.8554,8.91,2.325,0.0119,0.312,-0.0222,0.1242,0.0,0.3544,0.0
9,0.65,AdaptiveAgglom,4866,15141,647,10922,0.8382,1.8,2.2655,0.0013,0.0434,0.0781,0.5615,0.0,0.4956,0.0
9,0.65,HDBSCAN,645,2340,67,1762,0.8135,9.5,2.3094,0.0113,0.2264,-0.0117,0.1141,0.0,0.3142,0.0
9,0.6,AdaptiveAgglom,3651,8831,609,5789,0.7898,1.85,2.2712,0.0013,0.0293,0.0652,0.5472,0.0,0.4648,0.0
15,0.3,AdaptiveAgglom,1269,1166,523,420,0.4733,2.12,1.7439,0.0014,0.0284,0.0923,0.4759,0.0,0.4024,0.0
15,0.25,AdaptiveAgglom,1082,809,516,243,0.3967,2.17,1.733,0.0014,0.0379,0.1013,0.4667,0.0,0.3968,0.0
15,0.2,AdaptiveAgglom,953,615,514,176,0.3319,2.23,1.7012,0.0014,0.0273,0.1031,0.4569,0.0,0.379,0.0
15,0.15,AdaptiveAgglom,843,407,534,98,0.2508,2.25,1.6807,0.0011,0.0249,0.0758,0.45,0.0,0.3413,0.0
15,0.1,AdaptiveAgglom,757,272,540,55,0.1746,2.27,1.6386,0.001,0.0198,0.0978,0.4423,0.0,0.3401,0.0
10,0.3,AdaptiveAgglom,1448,1279,623,454,0.4886,1.92,1.9248,0.0012,0.0642,0.1165,0.5267,0.0,0.4595,0.0
15,0.65,HDBSCAN,801,3351,54,2604,0.8291,8.8,1.734,0.0105,0.2584,-0.0448,0.1275,0.0,0.3112,0.0
15,0.6,AdaptiveAgglom,3998,11549,561,8112,0.8178,1.95,2.0724,0.0014,0.0345,0.0799,0.5165,0.0,0.4705,0.0
15,0.6,HDBSCAN,586,2133,47,1594,0.7823,9.89,1.6371,0.0124,0.2867,-0.0214,0.1118,0.0,0.3266,0.0
15,0.55,AdaptiveAgglom,3193,7191,560,4558,0.7748,1.97,1.9315,0.0014,0.0332,0.1239,0.509,0.0,0.4921,0.0
15,0.5,AdaptiveAgglom,2546,4154,532,2140,0.7256,2.03,1.898,0.0013,0.0306,0.0787,0.4994,0.0,0.4444,0.0
15,0.45,AdaptiveAgglom,2122,3081,531,1490,0.6724,2.04,1.8504,0.0014,0.0537,0.0986,0.5021,0.0,0.4615,0.0
15,0.4,AdaptiveAgglom,1751,2199,533,981,0.6121,2.09,1.7369,0.0014,0.0268,0.0889,0.4904,0.0,0.4279,0.0
15,0.35,AdaptiveAgglom,1498,1613,537,652,0.5453,2.08,1.7481,0.0014,0.034,0.0807,0.4884,0.0,0.413,0.0
9,0.85,AdaptiveAgglom,20408,274218,715,254525,0.9595,1.71,2.437,0.0013,0.0168,0.0966,0.5947,0.0,0.5885,0.0
9,0.85,HDBSCAN,2500,37762,44,35306,0.9471,9.65,3.4203,0.0121,0.3492,0.0089,0.1184,0.0,0.4136,0.0
9,0.85,AdaptiveDBSCAN,1520,19647,61,18188,0.9517,9.76,1.3133,0.017,0.0533,0.1129,0.1066,0.0,0.3574,0.0
9,0.8,AdaptiveAgglom,12803,107772,699,95668,0.9363,1.74,2.4024,0.0013,0.0174,0.1077,0.584,0.0,0.5519,0.0
9,0.8,HDBSCAN,1774,16137,56,14419,0.9199,8.21,2.2682,0.0103,0.3512,0.0184,0.1372,0.0,0.4201,0.0
9,0.45,AdaptiveAgglom,2240,2922,661,1343,0.6577,1.85,2.2438,0.0012,0.0429,0.0954,0.5521,0.0,0.4728,0.0
9,0.4,AdaptiveAgglom,1981,2368,659,1046,0.6146,1.86,2.1358,0.0012,0.0525,0.1333,0.5463,0.0,0.496,0.0
9,0.35,AdaptiveAgglom,1666,1742,639,715,0.5552,1.91,2.2386,0.0013,0.0564,0.1074,0.5265,0.0,0.4601,0.0
15,0.85,AdaptiveAgglom,25434,442079,685,417330,0.9678,1.73,2.354,0.0014,0.0421,0.1121,0.5871,0.0,0.6471,0.0
15,0.85,HDBSCAN,3642,68509,59,64926,0.9585,7.85,2.1499,0.0103,0.2496,0.0122,0.1463,0.0,0.3938,0.0
15,0.85,AdaptiveDBSCAN,1949,33762,57,31870,0.9611,9.8,1.2341,0.0178,0.119,0.1065,0.1065,0.0,0.3853,0.0
15,0.8,AdaptiveAgglom,15066,157240,574,142748,0.9473,1.79,2.3221,0.0014,0.0334,0.0657,0.5704,0.0,0.5342,0.0
15,0.8,HDBSCAN,2088,24800,39,22751,0.9324,8.73,2.1212,0.0114,0.4076,-0.0289,0.1308,0.0,0.4099,0.0
15,0.8,AdaptiveDBSCAN,1157,12135,48,11026,0.9293,10.5,1.132,0.0181,0.0787,0.0731,0.1009,0.0,0.3305,0.0
15,0.75,AdaptiveAgglom,9700,66064,567,56931,0.9205,1.84,2.2732,0.0014,0.0449,0.0959,0.5516,0.0,0.5297,0.0
15,0.75,HDBSCAN,1286,10093,50,8857,0.9029,9.9,2.1738,0.0122,0.297,0.0179,0.1137,0.0,0.3827,0.0
15,0.75,AdaptiveDBSCAN,753,5459,42,4748,0.8965,11.05,1.0444,0.0193,0.1142,0.1079,0.0908,0.0,0.3609,0.0
15,0.7,AdaptiveAgglom,6921,34533,571,28183,0.8904,1.87,2.2537,0.0014,0.0565,0.107,0.5418,0.0,0.5273,0.0
15,0.7,HDBSCAN,945,5875,33,4963,0.8656,9.99,1.9772,0.0132,0.3725,-0.017,0.1105,0.0,0.3804,0.0
15,0.7,AdaptiveDBSCAN,554,2927,49,2422,0.8605,11.19,1.0079,0.0191,0.13,0.0813,0.0915,0.0001,0.3415,0.0
15,0.65,AdaptiveAgglom,5245,19395,547,14697,0.8584,1.91,2.1245,0.0014,0.065,0.0682,0.531,0.0,0.4889,0.0
17,0.4,AdaptiveAgglom,1717,2228,496,1007,0.6108,2.12,1.7019,0.0015,0.0425,0.0752,0.4749,0.0,0.4177,0.0
17,0.35,AdaptiveAgglom,1449,1623,502,676,0.5472,2.16,1.6744,0.0015,0.0483,0.1113,0.4678,0.0,0.4339,0.0
17,0.3,AdaptiveAgglom,1235,1201,487,453,0.4798,2.21,1.6144,0.0016,0.0308,0.0827,0.4555,0.0,0.3888,0.0
17,0.25,AdaptiveAgglom,1047,835,478,266,0.4079,2.29,1.6792,0.0015,0.0334,0.0877,0.4404,0.0,0.3756,0.0
17,0.2,AdaptiveAgglom,923,588,487,152,0.3251,2.28,1.6377,0.0014,0.0455,0.0804,0.445,0.0,0.3636,0.0
17,0.15,AdaptiveAgglom,804,353,512,61,0.2349,2.3,1.6255,0.0011,0.0398,0.0818,0.4431,0.0,0.3467,0.0
17,0.1,AdaptiveAgglom,743,230,543,30,0.1592,2.27,1.5778,0.0008,0.0215,0.1118,0.4481,0.0,0.3512,0.0
9,0.3,AdaptiveAgglom,1425,1260,631,466,0.487,1.94,2.1262,0.0012,0.0288,0.1284,0.5172,0.0,0.4491,0.0
9,0.2,AdaptiveAgglom,1037,631,607,201,0.33,2.04,1.9889,0.0012,0.028,0.123,0.4925,0.0,0.4088,0.0
9,0.15,AdaptiveAgglom,930,386,625,81,0.2379,2.0,1.8576,0.0009,0.0247,0.1275,0.502,0.0,0.3996,0.0
9,0.1,AdaptiveAgglom,834,208,652,26,0.1538,2.01,1.8429,0.0006,0.0216,0.1186,0.4992,0.0,0.3767,0.0
9,0.55,AdaptiveAgglom,2979,5701,603,3325,0.7402,1.83,2.2907,0.0013,0.0269,0.108,0.5526,0.0,0.4896,0.0
9,0.5,AdaptiveAgglom,2551,3699,644,1792,0.6958,1.83,2.3214,0.0011,0.0188,0.0932,0.5538,0.0,0.4679,0.0
17,0.75,AdaptiveAgglom,9870,69859,534,60523,0.9232,1.87,2.2358,0.0014,0.0803,0.0776,0.5397,0.0,0.5274,0.0
17,0.75,HDBSCAN,1424,11665,36,10277,0.9017,9.12,1.8462,0.0115,0.3652,-0.02,0.1242,0.0,0.3878,0.0
17,0.75,AdaptiveDBSCAN,788,5752,43,5007,0.8983,11.15,1.0061,0.0186,0.1624,0.09,0.0907,0.0,0.3683,0.0
17,0.7,AdaptiveAgglom,6996,36246,535,29785,0.8937,1.91,2.1683,0.0015,0.0625,0.0954,0.5297,0.0,0.517,0.0
17,0.7,HDBSCAN,1055,6260,55,5260,0.869,8.82,1.6813,0.0113,0.3005,-0.0024,0.1247,0.0,0.3671,0.0
17,0.7,AdaptiveDBSCAN,593,3233,45,2685,0.8625,11.01,0.9564,0.0184,0.0961,0.0876,0.0923,0.0,0.3325,0.0
17,0.65,AdaptiveAgglom,5341,20236,544,15439,0.8612,1.91,2.0725,0.0014,0.0607,0.0801,0.5354,0.0,0.4985,0.0
17,0.65,HDBSCAN,799,3561,46,2808,0.8295,9.2,1.5383,0.0112,0.2378,0.0101,0.1252,0.0,0.3429,0.0
17,0.6,AdaptiveAgglom,4059,12521,519,8981,0.8231,1.98,1.9917,0.0015,0.1094,0.0833,0.5157,0.0,0.5058,0.0
17,0.6,HDBSCAN,635,2448,39,1852,0.7909,9.31,1.4471,0.0122,0.3213,-0.0205,0.1224,0.0,0.3479,0.0
17,0.55,AdaptiveAgglom,3189,7693,522,5026,0.7804,2.03,1.9103,0.0015,0.0511,0.0883,0.5006,0.0,0.4705,0.0
17,0.5,AdaptiveAgglom,2567,4238,510,2181,0.7301,2.05,1.814,0.0013,0.067,0.1045,0.4902,0.0,0.4763,0.0
17,0.45,AdaptiveAgglom,2068,3009,515,1456,0.6719,2.09,1.7672,0.0014,0.0513,0.1069,0.4817,0.0,0.4582,0.0
8,0.8,AdaptiveDBSCAN,956,7453,60,6557,0.9204,9.59,1.3107,0.0163,0.0732,0.1189,0.1079,0.0,0.3631,0.0
8,0.75,AdaptiveAgglom,8927,52159,709,43941,0.9072,1.71,2.3666,0.0013,0.0181,0.139,0.5929,0.0,0.5626,0.0
8,0.75,HDBSCAN,1232,7772,55,6595,0.8786,8.09,2.3004,0.0102,0.2979,-0.0496,0.1419,0.0,0.3395,0.0
8,0.75,AdaptiveDBSCAN,669,3807,58,3196,0.8894,9.74,1.2532,0.017,0.0643,0.1413,0.1047,0.0,0.369,0.0
8,0.7,AdaptiveAgglom,6148,24329,704,18885,0.8687,1.76,2.3663,0.0013,0.0267,0.1234,0.5772,0.0,0.5359,0.0
8,0.7,HDBSCAN,800,3559,63,2822,0.8411,9.21,2.6317,0.0111,0.185,-0.0201,0.1194,0.0,0.2971,0.0
8,0.65,AdaptiveAgglom,5008,15599,701,11292,0.8401,1.77,2.3675,0.0012,0.0319,0.1038,0.5756,0.0,0.5163,0.0
8,0.65,HDBSCAN,682,2488,69,1875,0.8158,8.96,2.423,0.0107,0.261,0.045,0.1258,0.0,0.3769,0.0
8,0.6,AdaptiveAgglom,4089,10819,672,7402,0.8046,1.78,2.3636,0.0013,0.0281,0.0845,0.5741,0.0,0.4928,0.0
17,0.85,AdaptiveAgglom,26027,474108,638,448719,0.9689,1.75,2.3895,0.0014,0.0633,0.0791,0.5811,0.0,0.6363,0.0
17,0.85,HDBSCAN,3655,74376,57,70778,0.9614,8.25,2.2281,0.0111,0.3363,-0.0436,0.1377,0.0,0.3871,0.0
17,0.85,AdaptiveDBSCAN,1938,36110,47,34219,0.9607,10.32,1.2094,0.0192,0.1584,0.0706,0.0996,0.0,0.3727,0.0
17,0.8,AdaptiveAgglom,15281,163934,550,149203,0.9485,1.8,2.3092,0.0014,0.0626,0.081,0.5638,0.0,0.5571,0.0
17,0.8,HDBSCAN,2067,25714,46,23693,0.935,9.17,2.1426,0.012,0.3682,-0.0191,0.1243,0.0,0.3984,0.0
17,0.8,AdaptiveDBSCAN,1190,13362,44,12216,0.9299,10.57,1.1141,0.0189,0.1143,0.0712,0.0966,0.0,0.3429,0.0
8,0.55,AdaptiveAgglom,3085,6303,629,3847,0.7489,1.83,2.2784,0.0013,0.0263,0.0982,0.5523,0.0,0.4834,0.0
8,0.5,AdaptiveAgglom,2459,3549,614,1704,0.689,1.86,2.301,0.0012,0.0423,0.0937,0.5452,0.0,0.4736,0.0
8,0.45,AdaptiveAgglom,1938,2359,591,1012,0.6138,1.9,2.1962,0.0013,0.032,0.0848,0.5347,0.0,0.4457,0.0
8,0.4,AdaptiveAgglom,1605,1563,634,592,0.5376,1.91,2.1968,0.0012,0.043,0.1069,0.5314,0.0,0.4532,0.0
8,0.35,AdaptiveAgglom,1301,924,653,276,0.4468,1.97,2.1206,0.0011,0.02,0.1147,0.5162,0.0,0.428,0.0
20,0.3,AdaptiveAgglom,1194,1191,449,446,0.4855,2.31,1.5468,0.0017,0.0695,0.0666,0.447,0.0,0.3906,0.0
20,0.25,AdaptiveAgglom,1004,815,449,260,0.4162,2.42,1.5143,0.0016,0.0488,0.0641,0.4259,0.0,0.3597,0.0
20,0.2,AdaptiveAgglom,886,575,462,151,0.3415,2.43,1.4822,0.0015,0.0305,0.0994,0.417,0.0,0.3626,0.0
20,0.15,AdaptiveAgglom,789,421,462,94,0.2709,2.46,1.4763,0.0014,0.0418,0.0763,0.4143,0.0,0.3374,0.0
20,0.1,AdaptiveAgglom,705,266,478,39,0.1834,2.46,1.4815,0.0011,0.0326,0.0944,0.4076,0.0,0.33,0.0
8,0.85,AdaptiveAgglom,19997,260930,716,241649,0.9583,1.7,2.5426,0.0013,0.0163,0.1178,0.5974,0.0,0.6022,0.0
8,0.85,HDBSCAN,2135,35089,8,32962,0.9434,11.58,3.9457,0.0154,0.5372,-0.0355,0.0982,0.0,0.4509,0.0
8,0.85,AdaptiveDBSCAN,1441,17555,63,16177,0.9495,9.89,1.3826,0.0169,0.0437,0.1428,0.1017,0.0,0.3729,0.0
8,0.8,AdaptiveAgglom,12186,95948,702,84464,0.9328,1.73,2.4263,0.0013,0.0203,0.0911,0.5875,0.0,0.5389,0.0
8,0.8,HDBSCAN,1708,14483,64,12839,0.918,8.05,2.3937,0.0099,0.267,0.0274,0.1412,0.0,0.3919,0.0
20,0.6,AdaptiveAgglom,4030,12511,487,8968,0.8258,2.02,1.8677,0.0015,0.0653,0.0575,0.5005,0.0,0.4616,0.0
20,0.6,HDBSCAN,675,2425,54,1804,0.7915,8.65,1.28,0.0107,0.2785,0.026,0.1301,0.0,0.3679,0.0
20,0.55,AdaptiveAgglom,3143,7501,466,4824,0.7826,2.08,1.8348,0.0015,0.0407,0.0802,0.4878,0.0,0.4549,0.0
20,0.5,AdaptiveAgglom,2492,4246,462,2216,0.7343,2.14,1.7393,0.0014,0.0401,0.0565,0.4744,0.0,0.4228,0.0
9,0.25,AdaptiveAgglom,1221,893,630,302,0.4139,1.98,2.0539,0.0012,0.0246,0.1131,0.5074,0.0,0.4198,0.0
