n_cubes,overlap,clusterer,n_nodes,n_edges,n_components,n_cycles,overlap_ratio,mean_node_size,size_cv,graph_density,lcc_fraction,node_cohesion,cat_separation,size_penalty,composite_score,penalised_score
25,0.5,AdaptiveDBSCAN,335,627,47,339,0.6816,9.45,0.7047,0.0112,0.1672,0.0645,0.108,0.0724,0.3219,0.0233
9,0.5,HDBSCAN,330,518,68,256,0.6579,10.35,1.9392,0.0095,0.1697,-0.0037,0.1119,0.0832,0.2694,0.0224
13,0.6,AdaptiveDBSCAN,344,1080,43,779,0.7667,10.81,0.9605,0.0183,0.1366,0.0821,0.0998,0.0563,0.3327,0.0187
13,0.45,HDBSCAN,342,538,68,264,0.6207,8.74,1.2169,0.0092,0.1374,0.0416,0.1322,0.0595,0.292,0.0174
25,0.35,HDBSCAN,339,561,51,273,0.5175,7.58,0.8754,0.0098,0.1209,0.034,0.1433,0.0648,0.267,0.0173
7,0.5,HDBSCAN,343,563,65,285,0.6253,8.95,2.2106,0.0096,0.2886,-0.034,0.1262,0.0579,0.2979,0.0172
8,0.5,HDBSCAN,347,553,67,273,0.6411,9.26,1.9067,0.0092,0.2795,0.001,0.1234,0.0517,0.3218,0.0166
40,0.4,AdaptiveDBSCAN,348,637,34,323,0.5659,7.78,0.5124,0.0106,0.2126,0.0103,0.1334,0.0502,0.2922,0.0147
20,0.4,HDBSCAN,349,572,64,287,0.5665,8.0,1.0626,0.0094,0.2006,0.0213,0.1352,0.0488,0.2962,0.0145
40,0.25,HDBSCAN,339,453,67,181,0.3876,6.14,0.628,0.0079,0.0767,-0.0144,0.1707,0.0648,0.2019,0.0131
10,0.5,HDBSCAN,354,650,41,337,0.6354,9.45,1.7209,0.0104,0.3107,-0.0321,0.121,0.0423,0.3083,0.013
20,0.55,AdaptiveDBSCAN,355,919,47,611,0.7261,9.95,0.7661,0.0146,0.0789,0.0674,0.1006,0.0411,0.2906,0.0119
35,0.45,AdaptiveDBSCAN,358,710,33,385,0.6319,8.52,0.5766,0.0111,0.176,0.0368,0.1211,0.0377,0.3022,0.0114
50,0.25,HDBSCAN,350,468,63,181,0.3678,5.83,0.6159,0.0077,0.1429,-0.0091,0.1816,0.0474,0.2354,0.0112
35,0.3,HDBSCAN,351,468,69,186,0.4414,6.36,0.6826,0.0076,0.1026,0.0139,0.1575,0.0461,0.2376,0.011
50,0.35,AdaptiveDBSCAN,353,591,43,281,0.4901,6.87,0.459,0.0095,0.1303,-0.0089,0.1403,0.0435,0.233,0.0101
17,0.45,HDBSCAN,367,616,59,308,0.6223,8.71,1.2189,0.0092,0.2807,0.0312,0.1263,0.029,0.3432,0.01
30,0.35,HDBSCAN,359,570,57,268,0.4998,7.0,0.7642,0.0089,0.1783,0.0011,0.1483,0.0366,0.266,0.0097
15,0.6,AdaptiveDBSCAN,366,1167,48,849,0.7769,10.68,0.9082,0.0175,0.0847,0.0941,0.0926,0.0299,0.3182,0.0095
7,0.65,AdaptiveDBSCAN,369,1083,58,772,0.8111,9.97,1.2124,0.016,0.0596,0.1216,0.0987,0.0274,0.3363,0.0092
15,0.45,HDBSCAN,367,628,64,325,0.6276,8.66,1.2424,0.0094,0.1662,0.0241,0.1354,0.029,0.2936,0.0085
17,0.6,AdaptiveDBSCAN,377,1237,40,900,0.7784,10.83,0.8237,0.0175,0.2387,0.0994,0.0989,0.0217,0.3909,0.0085
