n_cubes,overlap,clusterer,n_nodes,n_edges,n_components,n_cycles
5,0.2,AdaptiveAgglom,1161,570,721,130
5,0.25,AdaptiveAgglom,1318,812,724,218
5,0.3,AdaptiveAgglom,1434,1034,725,325
5,0.35,AdaptiveAgglom,1610,1350,734,474
5,0.4,AdaptiveAgglom,1741,1570,740,569
5,0.45,AdaptiveAgglom,1919,1940,736,757
5,0.5,AdaptiveAgglom,2154,2403,744,993
5,0.55,AdaptiveAgglom,2665,3983,750,2068
5,0.6,AdaptiveAgglom,3295,6341,741,3787
5,0.65,AdaptiveAgglom,4440,11599,735,7894
5,0.7,AdaptiveAgglom,5657,19455,730,14528
5,0.75,AdaptiveAgglom,6734,28531,724,22521
5,0.8,AdaptiveAgglom,10797,72095,711,62009
5,0.85,AdaptiveAgglom,15000,136187,730,121917
6,0.1,AdaptiveAgglom,792,120,680,8
6,0.15,AdaptiveAgglom,824,188,656,20
6,0.2,AdaptiveAgglom,926,298,672,44
6,0.25,AdaptiveAgglom,1019,456,662,99
6,0.3,AdaptiveAgglom,1151,654,664,167
6,0.35,AdaptiveAgglom,1357,972,691,306
6,0.4,AdaptiveAgglom,1602,1419,701,518
6,0.45,AdaptiveAgglom,1888,1978,713,803
6,0.5,AdaptiveAgglom,2346,2874,751,1279
6,0.55,AdaptiveAgglom,2959,5047,741,2829
6,0.6,AdaptiveAgglom,3824,8899,713,5788
6,0.65,AdaptiveAgglom,4925,14490,734,10299
6,0.7,AdaptiveAgglom,5748,20846,706,15804
6,0.75,AdaptiveAgglom,7290,33242,724,26676
6,0.8,AdaptiveAgglom,11619,85033,718,74132
6,0.85,AdaptiveAgglom,17650,195092,708,178150
7,0.1,AdaptiveAgglom,829,128,701,0
7,0.15,AdaptiveAgglom,874,187,687,0
7,0.2,AdaptiveAgglom,932,253,682,3
7,0.25,AdaptiveAgglom,997,324,678,5
7,0.3,AdaptiveAgglom,1084,443,676,35
7,0.35,AdaptiveAgglom,1209,672,649,112
7,0.4,AdaptiveAgglom,1407,1057,645,295
7,0.45,AdaptiveAgglom,1820,1944,649,773
7,0.5,AdaptiveAgglom,2401,3318,659,1576
7,0.55,AdaptiveAgglom,3157,6609,665,4117
7,0.6,AdaptiveAgglom,4058,10774,697,7413
7,0.65,AdaptiveAgglom,5076,15490,735,11149
7,0.7,AdaptiveAgglom,5987,22446,701,17160
7,0.75,AdaptiveAgglom,8159,42863,717,35421
7,0.8,AdaptiveAgglom,12040,92244,727,80931
7,0.85,AdaptiveAgglom,19022,233878,707,215563
8,0.1,AdaptiveAgglom,794,148,679,33
8,0.15,AdaptiveAgglom,829,206,658,35
8,0.2,AdaptiveAgglom,887,275,652,40
8,0.25,AdaptiveAgglom,995,417,654,76
8,0.3,AdaptiveAgglom,1102,569,650,117
8,0.35,AdaptiveAgglom,1301,924,653,276
8,0.4,AdaptiveAgglom,1605,1563,634,592
8,0.45,AdaptiveAgglom,1938,2359,591,1012
8,0.5,AdaptiveAgglom,2459,3549,614,1704
8,0.55,AdaptiveAgglom,3085,6303,629,3847
8,0.6,AdaptiveAgglom,4089,10819,672,7402
8,0.65,AdaptiveAgglom,5008,15599,701,11292
8,0.7,AdaptiveAgglom,6148,24329,704,18885
8,0.75,AdaptiveAgglom,8927,52159,709,43941
8,0.8,AdaptiveAgglom,12186,95948,702,84464
8,0.85,AdaptiveAgglom,19997,260930,716,241649
9,0.1,AdaptiveAgglom,834,208,652,26
9,0.15,AdaptiveAgglom,930,386,625,81
9,0.2,AdaptiveAgglom,1037,631,607,201
9,0.25,AdaptiveAgglom,1221,893,630,302
9,0.3,AdaptiveAgglom,1425,1260,631,466
9,0.35,AdaptiveAgglom,1666,1742,639,715
9,0.4,AdaptiveAgglom,1981,2368,659,1046
9,0.45,AdaptiveAgglom,2240,2922,661,1343
9,0.5,AdaptiveAgglom,2551,3699,644,1792
9,0.55,AdaptiveAgglom,2979,5701,603,3325
9,0.6,AdaptiveAgglom,3651,8831,609,5789
9,0.65,AdaptiveAgglom,4866,15141,647,10922
9,0.7,AdaptiveAgglom,6701,30613,681,24593
9,0.75,AdaptiveAgglom,9291,56051,720,47480
9,0.8,AdaptiveAgglom,12803,107772,699,95668
9,0.85,AdaptiveAgglom,20408,274218,715,254525
10,0.1,AdaptiveAgglom,838,245,622,29
10,0.15,AdaptiveAgglom,934,405,614,85
10,0.2,AdaptiveAgglom,1057,599,606,148
10,0.25,AdaptiveAgglom,1245,928,614,297
10,0.3,AdaptiveAgglom,1448,1279,623,454
10,0.35,AdaptiveAgglom,1681,1764,624,707
10,0.4,AdaptiveAgglom,1919,2278,620,979
10,0.45,AdaptiveAgglom,2212,2940,628,1356
10,0.5,AdaptiveAgglom,2557,3802,618,1863
10,0.55,AdaptiveAgglom,3082,6103,608,3629
10,0.6,AdaptiveAgglom,3777,9367,616,6206
10,0.65,AdaptiveAgglom,4850,15549,579,11278
10,0.7,AdaptiveAgglom,6827,32003,644,25820
10,0.75,AdaptiveAgglom,9373,57835,694,49156
10,0.8,AdaptiveAgglom,13584,122377,703,109496
10,0.85,AdaptiveAgglom,21365,307168,704,286507
11,0.1,AdaptiveAgglom,805,214,631,40
11,0.15,AdaptiveAgglom,897,369,620,92
11,0.2,AdaptiveAgglom,1015,542,623,150
11,0.25,AdaptiveAgglom,1177,732,655,210
11,0.3,AdaptiveAgglom,1329,1010,645,326
11,0.35,AdaptiveAgglom,1516,1444,615,543
11,0.4,AdaptiveAgglom,1765,2015,602,852
11,0.45,AdaptiveAgglom,2112,2838,585,1311
11,0.5,AdaptiveAgglom,2570,3936,581,1947
11,0.55,AdaptiveAgglom,3135,6748,560,4173
11,0.6,AdaptiveAgglom,3967,10645,587,7265
11,0.65,AdaptiveAgglom,5043,16923,592,12472
11,0.7,AdaptiveAgglom,6653,30193,603,24143
11,0.75,AdaptiveAgglom,9517,61091,645,52219
11,0.8,AdaptiveAgglom,14258,135136,710,121588
11,0.85,AdaptiveAgglom,22453,342347,687,320581
12,0.1,AdaptiveAgglom,812,217,617,22
12,0.15,AdaptiveAgglom,893,351,599,57
12,0.2,AdaptiveAgglom,998,529,573,104
12,0.25,AdaptiveAgglom,1128,762,570,204
12,0.3,AdaptiveAgglom,1291,1053,580,342
12,0.35,AdaptiveAgglom,1514,1494,593,573
12,0.4,AdaptiveAgglom,1723,1984,582,843
12,0.45,AdaptiveAgglom,2047,2723,584,1260
12,0.5,AdaptiveAgglom,2548,3996,568,2016
12,0.55,AdaptiveAgglom,3221,7194,569,4542
12,0.6,AdaptiveAgglom,4042,11367,588,7913
12,0.65,AdaptiveAgglom,5167,17737,604,13174
12,0.7,AdaptiveAgglom,6709,30900,593,24784
12,0.75,AdaptiveAgglom,9532,62569,585,53622
12,0.8,AdaptiveAgglom,14688,142947,707,128966
12,0.85,AdaptiveAgglom,23066,359866,705,337505
13,0.1,AdaptiveAgglom,830,300,594,64
13,0.15,AdaptiveAgglom,905,435,580,110
13,0.2,AdaptiveAgglom,1016,609,585,178
13,0.25,AdaptiveAgglom,1148,886,563,301
13,0.3,AdaptiveAgglom,1329,1263,547,481
13,0.35,AdaptiveAgglom,1593,1751,565,723
13,0.4,AdaptiveAgglom,1816,2202,580,966
13,0.45,AdaptiveAgglom,2130,2896,599,1365
13,0.5,AdaptiveAgglom,2539,4012,566,2039
13,0.55,AdaptiveAgglom,3137,6937,575,4375
13,0.6,AdaptiveAgglom,3876,10824,559,7507
13,0.65,AdaptiveAgglom,5148,17992,579,13423
13,0.7,AdaptiveAgglom,6851,32945,575,26669
13,0.75,AdaptiveAgglom,9571,64035,558,55022
13,0.8,AdaptiveAgglom,14798,148425,659,134286
13,0.85,AdaptiveAgglom,23735,382373,691,359329
15,0.1,AdaptiveAgglom,757,272,540,55
15,0.15,AdaptiveAgglom,843,407,534,98
15,0.2,AdaptiveAgglom,953,615,514,176
15,0.25,AdaptiveAgglom,1082,809,516,243
15,0.3,AdaptiveAgglom,1269,1166,523,420
15,0.35,AdaptiveAgglom,1498,1613,537,652
15,0.4,AdaptiveAgglom,1751,2199,533,981
15,0.45,AdaptiveAgglom,2122,3081,531,1490
15,0.5,AdaptiveAgglom,2546,4154,532,2140
15,0.55,AdaptiveAgglom,3193,7191,560,4558
15,0.6,AdaptiveAgglom,3998,11549,561,8112
15,0.65,AdaptiveAgglom,5245,19395,547,14697
15,0.7,AdaptiveAgglom,6921,34533,571,28183
15,0.75,AdaptiveAgglom,9700,66064,567,56931
15,0.8,AdaptiveAgglom,15066,157240,574,142748
15,0.85,AdaptiveAgglom,25434,442079,685,417330
17,0.1,AdaptiveAgglom,743,230,543,30
17,0.15,AdaptiveAgglom,804,353,512,61
17,0.2,AdaptiveAgglom,923,588,487,152
17,0.25,AdaptiveAgglom,1047,835,478,266
17,0.3,AdaptiveAgglom,1235,1201,487,453
17,0.35,AdaptiveAgglom,1449,1623,502,676
17,0.4,AdaptiveAgglom,1717,2228,496,1007
17,0.45,AdaptiveAgglom,2068,3009,515,1456
17,0.5,AdaptiveAgglom,2567,4238,510,2181
17,0.55,AdaptiveAgglom,3189,7693,522,5026
17,0.6,AdaptiveAgglom,4059,12521,519,8981
17,0.65,AdaptiveAgglom,5341,20236,544,15439
17,0.7,AdaptiveAgglom,6996,36246,535,29785
17,0.75,AdaptiveAgglom,9870,69859,534,60523
17,0.8,AdaptiveAgglom,15281,163934,550,149203
17,0.85,AdaptiveAgglom,26027,474108,638,448719
20,0.1,AdaptiveAgglom,705,266,478,39
20,0.15,AdaptiveAgglom,789,421,462,94
20,0.2,AdaptiveAgglom,886,575,462,151
20,0.25,AdaptiveAgglom,1004,815,449,260
20,0.3,AdaptiveAgglom,1194,1191,449,446
20,0.35,AdaptiveAgglom,1383,1643,443,703
20,0.4,AdaptiveAgglom,1669,2221,465,1017
20,0.45,AdaptiveAgglom,2043,3119,460,1536
20,0.5,AdaptiveAgglom,2492,4246,462,2216
20,0.55,AdaptiveAgglom,3143,7501,466,4824
20,0.6,AdaptiveAgglom,4030,12511,487,8968
20,0.65,AdaptiveAgglom,5160,19950,486,15276
20,0.7,AdaptiveAgglom,7094,38184,510,31600
20,0.75,AdaptiveAgglom,10212,74917,531,65236
20,0.8,AdaptiveAgglom,15231,168983,517,154269
20,0.85,AdaptiveAgglom,26619,505331,539,479251
25,0.1,AdaptiveAgglom,640,244,435,39
25,0.15,AdaptiveAgglom,712,396,404,88
25,0.2,AdaptiveAgglom,838,627,396,185
25,0.25,AdaptiveAgglom,994,909,394,309
25,0.3,AdaptiveAgglom,1180,1263,405,488
25,0.35,AdaptiveAgglom,1397,1758,392,753
25,0.4,AdaptiveAgglom,1705,2431,418,1144
25,0.45,AdaptiveAgglom,2000,3182,422,1604
25,0.5,AdaptiveAgglom,2446,4261,428,2243
25,0.55,AdaptiveAgglom,2990,7350,413,4773
25,0.6,AdaptiveAgglom,3839,12648,400,9209
25,0.65,AdaptiveAgglom,5099,21117,395,16413
25,0.7,AdaptiveAgglom,7132,40687,457,34012
25,0.75,AdaptiveAgglom,10229,78424,505,68700
25,0.8,AdaptiveAgglom,15840,187798,484,172442
25,0.85,AdaptiveAgglom,27131,544737,497,518103
30,0.1,AdaptiveAgglom,592,273,360,41
30,0.15,AdaptiveAgglom,676,418,343,85
30,0.2,AdaptiveAgglom,787,574,358,145
30,0.25,AdaptiveAgglom,930,876,361,307
30,0.3,AdaptiveAgglom,1090,1214,367,491
30,0.35,AdaptiveAgglom,1275,1682,344,751
30,0.4,AdaptiveAgglom,1507,2184,351,1028
30,0.45,AdaptiveAgglom,1842,2982,359,1499
30,0.5,AdaptiveAgglom,2335,4231,370,2266
30,0.55,AdaptiveAgglom,2967,7943,366,5342
30,0.6,AdaptiveAgglom,3803,12884,374,9455
30,0.65,AdaptiveAgglom,5050,21346,366,16662
30,0.7,AdaptiveAgglom,7000,41506,382,34888
30,0.75,AdaptiveAgglom,10138,81520,382,71764
30,0.8,AdaptiveAgglom,15946,195700,467,180221
30,0.85,AdaptiveAgglom,27809,586243,474,558908
35,0.1,AdaptiveAgglom,553,226,352,25
35,0.15,AdaptiveAgglom,622,355,339,72
35,0.2,AdaptiveAgglom,720,533,333,146
35,0.25,AdaptiveAgglom,827,767,309,249
35,0.3,AdaptiveAgglom,970,1130,283,443
35,0.35,AdaptiveAgglom,1156,1531,292,667
35,0.4,AdaptiveAgglom,1428,2078,319,969
35,0.45,AdaptiveAgglom,1742,2926,307,1491
35,0.5,AdaptiveAgglom,2192,4106,307,2221
35,0.55,AdaptiveAgglom,2861,7950,302,5391
35,0.6,AdaptiveAgglom,3708,13069,311,9672
35,0.65,AdaptiveAgglom,4995,21569,340,16914
35,0.7,AdaptiveAgglom,6827,41900,331,35404
35,0.75,AdaptiveAgglom,10020,82692,358,73030
35,0.8,AdaptiveAgglom,16088,204113,391,188416
35,0.85,AdaptiveAgglom,28101,610731,452,583082
40,0.1,AdaptiveAgglom,530,226,330,26
40,0.15,AdaptiveAgglom,611,429,285,103
40,0.2,AdaptiveAgglom,716,623,282,189
40,0.25,AdaptiveAgglom,805,868,260,323
40,0.3,AdaptiveAgglom,957,1207,256,506
40,0.35,AdaptiveAgglom,1159,1653,263,757
40,0.4,AdaptiveAgglom,1400,2254,255,1109
40,0.45,AdaptiveAgglom,1713,3093,241,1621
40,0.5,AdaptiveAgglom,2110,4094,256,2240
40,0.55,AdaptiveAgglom,2674,7490,268,5084
40,0.6,AdaptiveAgglom,3560,12872,300,9612
40,0.65,AdaptiveAgglom,4900,21972,313,17385
40,0.7,AdaptiveAgglom,6744,42663,306,36225
40,0.75,AdaptiveAgglom,9950,84566,328,74944
40,0.8,AdaptiveAgglom,15766,204441,326,189001
40,0.85,AdaptiveAgglom,28334,634007,431,606104
50,0.1,AdaptiveAgglom,527,234,328,35
50,0.15,AdaptiveAgglom,592,366,298,72
50,0.2,AdaptiveAgglom,665,555,265,155
50,0.25,AdaptiveAgglom,774,853,235,314
50,0.3,AdaptiveAgglom,881,1146,211,476
50,0.35,AdaptiveAgglom,1028,1546,196,714
50,0.4,AdaptiveAgglom,1243,2099,184,1040
50,0.45,AdaptiveAgglom,1546,2873,187,1514
50,0.5,AdaptiveAgglom,1933,3999,180,2246
50,0.55,AdaptiveAgglom,2522,7718,202,5398
50,0.6,AdaptiveAgglom,3348,13039,216,9907
50,0.65,AdaptiveAgglom,4624,21693,238,17307
50,0.7,AdaptiveAgglom,6438,42193,225,35980
50,0.75,AdaptiveAgglom,9613,85190,247,75824
50,0.8,AdaptiveAgglom,15615,212353,291,197029
50,0.85,AdaptiveAgglom,28369,671921,321,643873
