n_cubes,overlap,clusterer,n_nodes,n_edges,n_components,n_cycles
12,0.2,AdaptiveDBSCAN,124,75,64,15
12,0.25,AdaptiveDBSCAN,136,99,63,26
12,0.3,AdaptiveDBSCAN,150,139,59,48
12,0.35,AdaptiveDBSCAN,172,185,60,73
12,0.4,AdaptiveDBSCAN,193,250,54,111
12,0.45,AdaptiveDBSCAN,213,300,53,140
12,0.5,AdaptiveDBSCAN,238,368,54,184
12,0.55,AdaptiveDBSCAN,267,607,51,391
12,0.6,AdaptiveDBSCAN,338,1088,42,792
12,0.65,AdaptiveDBSCAN,398,1416,46,1064
12,0.7,AdaptiveDBSCAN,528,2519,48,2039
12,0.75,AdaptiveDBSCAN,762,5054,54,4346
12,0.8,AdaptiveDBSCAN,1117,10568,62,9513
12,0.85,AdaptiveDBSCAN,1769,27193,60,25484
13,0.1,AdaptiveDBSCAN,113,49,69,5
13,0.15,AdaptiveDBSCAN,115,68,62,15
13,0.2,AdaptiveDBSCAN,123,89,61,27
13,0.25,AdaptiveDBSCAN,136,117,56,37
13,0.3,AdaptiveDBSCAN,158,170,56,68
13,0.35,AdaptiveDBSCAN,178,210,57,89
13,0.4,AdaptiveDBSCAN,195,254,53,112
13,0.45,AdaptiveDBSCAN,222,306,58,142
13,0.5,AdaptiveDBSCAN,257,419,50,212
13,0.55,AdaptiveDBSCAN,283,647,49,413
13,0.6,AdaptiveDBSCAN,344,1080,43,779
13,0.65,AdaptiveDBSCAN,414,1527,48,1161
13,0.7,AdaptiveDBSCAN,537,2707,46,2216
13,0.75,AdaptiveDBSCAN,745,5075,45,4375
13,0.8,AdaptiveDBSCAN,1150,11965,48,10863
13,0.85,AdaptiveDBSCAN,1825,28827,60,27062
15,0.1,AdaptiveDBSCAN,107,55,62,10
15,0.15,AdaptiveDBSCAN,118,74,64,20
15,0.2,AdaptiveDBSCAN,129,110,54,35
15,0.25,AdaptiveDBSCAN,138,121,56,39
15,0.3,AdaptiveDBSCAN,154,152,57,55
15,0.35,AdaptiveDBSCAN,175,195,54,74
15,0.4,AdaptiveDBSCAN,205,273,51,119
15,0.45,AdaptiveDBSCAN,229,348,46,165
15,0.5,AdaptiveDBSCAN,269,451,49,231
15,0.55,AdaptiveDBSCAN,330,817,54,541
15,0.6,AdaptiveDBSCAN,366,1167,48,849
15,0.65,AdaptiveDBSCAN,461,1795,45,1379
15,0.7,AdaptiveDBSCAN,554,2927,49,2422
15,0.75,AdaptiveDBSCAN,753,5459,42,4748
15,0.8,AdaptiveDBSCAN,1157,12135,48,11026
15,0.85,AdaptiveDBSCAN,1949,33762,57,31870
17,0.1,AdaptiveDBSCAN,113,36,78,1
17,0.15,AdaptiveDBSCAN,120,56,67,3
17,0.2,AdaptiveDBSCAN,136,107,53,24
17,0.25,AdaptiveDBSCAN,155,150,52,47
17,0.3,AdaptiveDBSCAN,182,200,55,73
17,0.35,AdaptiveDBSCAN,197,243,53,99
17,0.4,AdaptiveDBSCAN,228,325,51,148
17,0.45,AdaptiveDBSCAN,248,386,53,191
17,0.5,AdaptiveDBSCAN,283,493,51,261
17,0.55,AdaptiveDBSCAN,321,823,48,550
17,0.6,AdaptiveDBSCAN,377,1237,40,900
17,0.65,AdaptiveDBSCAN,469,1808,44,1383
17,0.7,AdaptiveDBSCAN,593,3233,45,2685
17,0.75,AdaptiveDBSCAN,788,5752,43,5007
17,0.8,AdaptiveDBSCAN,1190,13362,44,12216
17,0.85,AdaptiveDBSCAN,1938,36110,47,34219
20,0.1,AdaptiveDBSCAN,128,64,72,8
20,0.15,AdaptiveDBSCAN,148,105,70,27
20,0.2,AdaptiveDBSCAN,156,129,65,38
20,0.25,AdaptiveDBSCAN,172,180,56,64
20,0.3,AdaptiveDBSCAN,187,232,53,98
20,0.35,AdaptiveDBSCAN,204,290,47,133
20,0.4,AdaptiveDBSCAN,218,327,49,158
20,0.45,AdaptiveDBSCAN,252,418,44,210
20,0.5,AdaptiveDBSCAN,301,541,50,290
20,0.55,AdaptiveDBSCAN,355,919,47,611
20,0.6,AdaptiveDBSCAN,439,1471,48,1080
20,0.65,AdaptiveDBSCAN,531,2204,41,1714
20,0.7,AdaptiveDBSCAN,668,3834,43,3209
20,0.75,AdaptiveDBSCAN,855,6519,45,5709
20,0.8,AdaptiveDBSCAN,1231,14348,45,13162
20,0.85,AdaptiveDBSCAN,2012,39106,44,37138
25,0.1,AdaptiveDBSCAN,147,73,82,8
25,0.15,AdaptiveDBSCAN,161,130,68,37
25,0.2,AdaptiveDBSCAN,181,171,66,56
25,0.25,AdaptiveDBSCAN,192,207,60,75
25,0.3,AdaptiveDBSCAN,210,280,51,121
25,0.35,AdaptiveDBSCAN,225,327,44,146
25,0.4,AdaptiveDBSCAN,260,425,44,209
25,0.45,AdaptiveDBSCAN,290,525,41,276
25,0.5,AdaptiveDBSCAN,335,627,47,339
25,0.55,AdaptiveDBSCAN,392,1108,40,756
25,0.6,AdaptiveDBSCAN,474,1753,36,1315
25,0.65,AdaptiveDBSCAN,593,2644,34,2085
25,0.7,AdaptiveDBSCAN,735,4463,41,3769
25,0.75,AdaptiveDBSCAN,950,7620,48,6718
25,0.8,AdaptiveDBSCAN,1289,15771,38,14520
25,0.85,AdaptiveDBSCAN,2091,43878,37,41824
30,0.1,AdaptiveDBSCAN,163,104,76,17
30,0.15,AdaptiveDBSCAN,178,161,56,39
30,0.2,AdaptiveDBSCAN,185,185,61,61
30,0.25,AdaptiveDBSCAN,198,226,56,84
30,0.3,AdaptiveDBSCAN,217,290,51,124
30,0.35,AdaptiveDBSCAN,253,391,45,183
30,0.4,AdaptiveDBSCAN,283,479,44,240
30,0.45,AdaptiveDBSCAN,307,555,41,289
30,0.5,AdaptiveDBSCAN,369,742,36,409
30,0.55,AdaptiveDBSCAN,443,1413,32,1002
30,0.6,AdaptiveDBSCAN,530,2012,39,1521
30,0.65,AdaptiveDBSCAN,640,2966,33,2359
30,0.7,AdaptiveDBSCAN,808,5262,34,4488
30,0.75,AdaptiveDBSCAN,1043,8949,29,7935
30,0.8,AdaptiveDBSCAN,1467,18913,36,17482
30,0.85,AdaptiveDBSCAN,2286,51090,35,48839
35,0.1,AdaptiveDBSCAN,175,103,88,16
35,0.15,AdaptiveDBSCAN,191,145,78,32
35,0.2,AdaptiveDBSCAN,205,196,64,55
35,0.25,AdaptiveDBSCAN,224,268,54,98
35,0.3,AdaptiveDBSCAN,246,355,42,151
35,0.35,AdaptiveDBSCAN,273,435,41,203
35,0.4,AdaptiveDBSCAN,310,519,45,254
35,0.45,AdaptiveDBSCAN,358,710,33,385
35,0.5,AdaptiveDBSCAN,404,824,37,457
35,0.55,AdaptiveDBSCAN,450,1440,28,1018
35,0.6,AdaptiveDBSCAN,546,2236,29,1719
35,0.65,AdaptiveDBSCAN,681,3252,27,2598
35,0.7,AdaptiveDBSCAN,867,5779,28,4940
35,0.75,AdaptiveDBSCAN,1128,10050,27,8949
35,0.8,AdaptiveDBSCAN,1609,21241,28,19660
35,0.85,AdaptiveDBSCAN,2409,55146,34,52771
40,0.1,AdaptiveDBSCAN,194,113,93,12
40,0.15,AdaptiveDBSCAN,209,191,63,45
40,0.2,AdaptiveDBSCAN,228,264,48,84
40,0.25,AdaptiveDBSCAN,251,343,44,136
40,0.3,AdaptiveDBSCAN,273,415,37,179
40,0.35,AdaptiveDBSCAN,301,499,40,238
40,0.4,AdaptiveDBSCAN,348,637,34,323
40,0.45,AdaptiveDBSCAN,384,753,31,400
40,0.5,AdaptiveDBSCAN,430,917,33,520
40,0.55,AdaptiveDBSCAN,503,1690,31,1218
40,0.6,AdaptiveDBSCAN,576,2425,26,1875
40,0.65,AdaptiveDBSCAN,712,3523,25,2836
40,0.7,AdaptiveDBSCAN,929,6694,30,5795
40,0.75,AdaptiveDBSCAN,1204,11075,29,9900
40,0.8,AdaptiveDBSCAN,1722,23722,21,22021
40,0.85,AdaptiveDBSCAN,2604,62433,30,59859
50,0.1,AdaptiveDBSCAN,208,103,112,7
50,0.15,AdaptiveDBSCAN,225,159,89,23
50,0.2,AdaptiveDBSCAN,250,227,77,54
50,0.25,AdaptiveDBSCAN,275,344,55,124
50,0.3,AdaptiveDBSCAN,313,454,47,188
50,0.35,AdaptiveDBSCAN,353,591,43,281
50,0.4,AdaptiveDBSCAN,383,713,33,363
50,0.45,AdaptiveDBSCAN,449,923,27,501
50,0.5,AdaptiveDBSCAN,506,1145,20,659
50,0.55,AdaptiveDBSCAN,579,2151,20,1592
50,0.6,AdaptiveDBSCAN,689,3099,19,2429
50,0.65,AdaptiveDBSCAN,826,4270,29,3473
50,0.7,AdaptiveDBSCAN,1033,7831,23,6821
50,0.75,AdaptiveDBSCAN,1334,13074,19,11759
50,0.8,AdaptiveDBSCAN,1880,27508,18,25646
50,0.85,AdaptiveDBSCAN,2936,73623,19,70706
5,0.1,HDBSCAN,123,53,80,10
5,0.15,HDBSCAN,147,78,86,17
5,0.2,HDBSCAN,151,101,73,23
5,0.25,HDBSCAN,172,131,78,37
5,0.3,HDBSCAN,195,142,92,39
5,0.35,HDBSCAN,215,188,93,66
5,0.4,HDBSCAN,223,227,85,89
5,0.45,HDBSCAN,226,275,69,118
5,0.5,HDBSCAN,253,343,68,158
5,0.55,HDBSCAN,387,663,84,360
5,0.6,HDBSCAN,517,1027,106,616
5,0.65,HDBSCAN,629,1656,100,1127
5,0.7,HDBSCAN,726,2730,74,2078
5,0.75,HDBSCAN,838,4046,59,3267
5,0.8,HDBSCAN,524,5724,2,5202
5,0.85,HDBSCAN,50,600,2,552
6,0.1,HDBSCAN,109,29,83,3
6,0.15,HDBSCAN,124,44,87,7
6,0.2,HDBSCAN,143,66,90,13
6,0.25,HDBSCAN,173,98,101,26
6,0.3,HDBSCAN,186,140,89,43
6,0.35,HDBSCAN,219,208,87,76
6,0.4,HDBSCAN,231,264,78,111
6,0.45,HDBSCAN,282,358,83,159
6,0.5,HDBSCAN,318,461,74,217
6,0.55,HDBSCAN,390,779,63,452
6,0.6,HDBSCAN,511,1287,75,851
6,0.65,HDBSCAN,654,2054,84,1484
6,0.7,HDBSCAN,842,3144,95,2397
6,0.75,HDBSCAN,930,5037,38,4145
6,0.8,HDBSCAN,1074,10519,2,9447
6,0.85,HDBSCAN,675,12355,2,11682
7,0.1,HDBSCAN,116,31,85,0
7,0.15,HDBSCAN,129,42,87,0
7,0.2,HDBSCAN,138,53,85,0
7,0.25,HDBSCAN,149,69,86,6
7,0.3,HDBSCAN,182,109,88,15
7,0.35,HDBSCAN,197,148,80,31
7,0.4,HDBSCAN,223,202,78,57
7,0.45,HDBSCAN,276,340,76,140
7,0.5,HDBSCAN,343,563,65,285
7,0.55,HDBSCAN,413,1023,54,664
7,0.6,HDBSCAN,579,1688,80,1189
7,0.65,HDBSCAN,671,2262,75,1666
7,0.7,HDBSCAN,855,3566,73,2784
7,0.75,HDBSCAN,1069,6273,56,5260
7,0.8,HDBSCAN,1637,13500,75,11938
7,0.85,HDBSCAN,1360,24489,2,23131
8,0.1,HDBSCAN,126,33,100,7
8,0.15,HDBSCAN,134,47,96,9
8,0.2,HDBSCAN,138,55,94,11
8,0.25,HDBSCAN,155,91,85,21
8,0.3,HDBSCAN,157,107,76,26
8,0.35,HDBSCAN,179,168,73,62
8,0.4,HDBSCAN,222,265,67,110
8,0.45,HDBSCAN,254,370,57,173
8,0.5,HDBSCAN,347,553,67,273
8,0.55,HDBSCAN,441,1097,53,709
8,0.6,HDBSCAN,580,1803,60,1283
8,0.65,HDBSCAN,682,2488,69,1875
8,0.7,HDBSCAN,800,3559,63,2822
8,0.75,HDBSCAN,1232,7772,55,6595
8,0.8,HDBSCAN,1708,14483,64,12839
8,0.85,HDBSCAN,2135,35089,8,32962
9,0.1,HDBSCAN,139,62,85,8
9,0.15,HDBSCAN,145,98,69,22
9,0.2,HDBSCAN,174,155,72,53
9,0.25,HDBSCAN,187,182,71,66
9,0.3,HDBSCAN,202,240,59,97
9,0.35,HDBSCAN,231,311,62,142
9,0.4,HDBSCAN,277,390,70,183
9,0.45,HDBSCAN,316,475,69,228
9,0.5,HDBSCAN,330,518,68,256
9,0.55,HDBSCAN,421,902,68,549
9,0.6,HDBSCAN,520,1428,70,978
9,0.65,HDBSCAN,645,2340,67,1762
9,0.7,HDBSCAN,907,4881,57,4031
9,0.75,HDBSCAN,1271,8351,63,7143
9,0.8,HDBSCAN,1774,16137,56,14419
9,0.85,HDBSCAN,2500,37762,44,35306
10,0.1,HDBSCAN,144,63,90,9
10,0.15,HDBSCAN,152,96,81,25
10,0.2,HDBSCAN,160,132,67,39
10,0.25,HDBSCAN,178,190,59,71
10,0.3,HDBSCAN,222,244,77,99
10,0.35,HDBSCAN,248,331,68,151
10,0.4,HDBSCAN,303,421,75,193
10,0.45,HDBSCAN,326,505,67,246
10,0.5,HDBSCAN,354,650,41,337
10,0.55,HDBSCAN,427,1017,57,647
10,0.6,HDBSCAN,522,1541,53,1072
10,0.65,HDBSCAN,682,2500,58,1876
10,0.7,HDBSCAN,889,4923,58,4092
10,0.75,HDBSCAN,1346,9197,58,7909
10,0.8,HDBSCAN,1884,18434,63,16613
10,0.85,HDBSCAN,2915,45124,62,42271
11,0.1,HDBSCAN,144,66,93,15
11,0.15,HDBSCAN,153,94,84,25
11,0.2,HDBSCAN,170,127,77,34
11,0.25,HDBSCAN,193,163,82,52
11,0.3,HDBSCAN,209,217,69,77
11,0.35,HDBSCAN,238,284,67,113
11,0.4,HDBSCAN,249,362,48,161
11,0.45,HDBSCAN,323,520,56,253
11,0.5,HDBSCAN,379,680,51,352
11,0.55,HDBSCAN,446,1222,51,827
11,0.6,HDBSCAN,556,1791,53,1288
11,0.65,HDBSCAN,714,2697,61,2044
11,0.7,HDBSCAN,945,4971,65,4091
11,0.75,HDBSCAN,1327,9580,57,8310
11,0.8,HDBSCAN,1951,20385,54,18488
11,0.85,HDBSCAN,3130,50768,55,47693
12,0.1,HDBSCAN,161,71,103,13
12,0.15,HDBSCAN,169,99,91,21
12,0.2,HDBSCAN,186,140,79,33
12,0.25,HDBSCAN,202,172,77,47
12,0.3,HDBSCAN,216,217,77,78
12,0.35,HDBSCAN,233,284,63,114
12,0.4,HDBSCAN,274,412,55,193
12,0.45,HDBSCAN,329,536,58,265
12,0.5,HDBSCAN,412,754,58,400
12,0.55,HDBSCAN,441,1237,44,840
12,0.6,HDBSCAN,547,1961,47,1461
12,0.65,HDBSCAN,629,2697,35,2103
12,0.7,HDBSCAN,946,4973,54,4081
12,0.75,HDBSCAN,1378,10085,58,8765
12,0.8,HDBSCAN,1961,22184,61,20284
12,0.85,HDBSCAN,3228,54318,62,51152
13,0.1,HDBSCAN,163,91,92,20
13,0.15,HDBSCAN,176,121,94,39
13,0.2,HDBSCAN,190,153,86,49
13,0.25,HDBSCAN,204,198,77,71
13,0.3,HDBSCAN,222,238,74,90
13,0.35,HDBSCAN,259,322,77,140
13,0.4,HDBSCAN,294,395,76,177
13,0.45,HDBSCAN,342,538,68,264
13,0.5,HDBSCAN,405,722,68,385
13,0.55,HDBSCAN,450,1231,57,838
13,0.6,HDBSCAN,560,1940,48,1428
13,0.65,HDBSCAN,722,2987,51,2316
13,0.7,HDBSCAN,949,5471,40,4562
13,0.75,HDBSCAN,1304,10063,33,8792
13,0.8,HDBSCAN,2118,23379,72,21333
13,0.85,HDBSCAN,3359,58808,49,55498
15,0.1,HDBSCAN,159,91,86,18
15,0.15,HDBSCAN,169,117,78,26
15,0.2,HDBSCAN,192,171,73,52
15,0.25,HDBSCAN,214,215,74,75
15,0.3,HDBSCAN,228,262,72,106
15,0.35,HDBSCAN,264,341,69,146
15,0.4,HDBSCAN,302,449,68,215
15,0.45,HDBSCAN,367,628,64,325
15,0.5,HDBSCAN,429,796,61,428
15,0.55,HDBSCAN,513,1369,62,918
15,0.6,HDBSCAN,586,2133,47,1594
15,0.65,HDBSCAN,801,3351,54,2604
15,0.7,HDBSCAN,945,5875,33,4963
15,0.75,HDBSCAN,1286,10093,50,8857
15,0.8,HDBSCAN,2088,24800,39,22751
15,0.85,HDBSCAN,3642,68509,59,64926
17,0.1,HDBSCAN,155,66,97,8
17,0.15,HDBSCAN,169,91,89,11
17,0.2,HDBSCAN,194,158,75,39
17,0.25,HDBSCAN,233,239,69,75
17,0.3,HDBSCAN,263,314,73,124
17,0.35,HDBSCAN,300,412,69,181
17,0.4,HDBSCAN,331,523,61,253
17,0.45,HDBSCAN,367,616,59,308
17,0.5,HDBSCAN,430,828,57,455
17,0.55,HDBSCAN,525,1666,43,1184
17,0.6,HDBSCAN,635,2448,39,1852
17,0.65,HDBSCAN,799,3561,46,2808
17,0.7,HDBSCAN,1055,6260,55,5260
17,0.75,HDBSCAN,1424,11665,36,10277
17,0.8,HDBSCAN,2067,25714,46,23693
17,0.85,HDBSCAN,3655,74376,57,70778
20,0.1,HDBSCAN,188,108,98,18
20,0.15,HDBSCAN,211,169,85,43
20,0.2,HDBSCAN,222,212,72,62
20,0.25,HDBSCAN,244,277,68,101
20,0.3,HDBSCAN,279,370,69,160
20,0.35,HDBSCAN,314,472,65,223
20,0.4,HDBSCAN,349,572,64,287
20,0.45,HDBSCAN,395,744,51,400
20,0.5,HDBSCAN,474,936,53,515
20,0.55,HDBSCAN,540,1576,46,1082
20,0.6,HDBSCAN,675,2425,54,1804
20,0.65,HDBSCAN,867,3943,44,3120
20,0.7,HDBSCAN,1071,7010,37,5976
20,0.75,HDBSCAN,1491,12871,33,11413
20,0.8,HDBSCAN,2216,28200,44,26028
20,0.85,HDBSCAN,3690,78586,37,74933
25,0.1,HDBSCAN,211,118,111,18
25,0.15,HDBSCAN,230,185,97,52
25,0.2,HDBSCAN,264,243,95,74
25,0.25,HDBSCAN,282,324,75,117
25,0.3,HDBSCAN,318,430,70,182
25,0.35,HDBSCAN,339,561,51,273
25,0.4,HDBSCAN,388,690,58,360
25,0.45,HDBSCAN,424,837,50,463
25,0.5,HDBSCAN,476,1000,44,568
25,0.55,HDBSCAN,583,1955,36,1408
25,0.6,HDBSCAN,699,2923,32,2256
25,0.65,HDBSCAN,905,4495,37,3627
25,0.7,HDBSCAN,1161,7873,32,6744
25,0.75,HDBSCAN,1505,13695,37,12227
25,0.8,HDBSCAN,2251,32334,23,30106
25,0.85,HDBSCAN,3744,90647,23,86926
30,0.1,HDBSCAN,226,133,110,17
30,0.15,HDBSCAN,246,205,89,48
30,0.2,HDBSCAN,255,242,85,72
30,0.25,HDBSCAN,284,304,80,100
30,0.3,HDBSCAN,314,413,67,166
30,0.35,HDBSCAN,359,570,57,268
30,0.4,HDBSCAN,405,700,55,350
30,0.45,HDBSCAN,462,906,57,501
30,0.5,HDBSCAN,550,1188,47,685
30,0.55,HDBSCAN,667,2247,42,1622
30,0.6,HDBSCAN,769,3348,33,2612
30,0.65,HDBSCAN,980,5134,32,4186
30,0.7,HDBSCAN,1206,8724,29,7547
30,0.75,HDBSCAN,1602,15357,25,13780
30,0.8,HDBSCAN,2420,35233,25,32838
30,0.85,HDBSCAN,3986,100588,15,96617
35,0.1,HDBSCAN,237,130,122,15
35,0.15,HDBSCAN,263,197,110,44
35,0.2,HDBSCAN,283,271,93,81
35,0.25,HDBSCAN,305,366,72,133
35,0.3,HDBSCAN,351,468,69,186
35,0.35,HDBSCAN,388,608,55,275
35,0.4,HDBSCAN,450,766,55,371
35,0.45,HDBSCAN,518,1052,43,577
35,0.5,HDBSCAN,585,1319,37,771
35,0.55,HDBSCAN,669,2362,34,1727
35,0.6,HDBSCAN,803,3478,28,2703
35,0.65,HDBSCAN,1009,5220,27,4238
35,0.7,HDBSCAN,1327,10073,28,8774
35,0.75,HDBSCAN,1704,16801,28,15125
35,0.8,HDBSCAN,2517,38092,16,35591
35,0.85,HDBSCAN,4008,103374,23,99389
40,0.1,HDBSCAN,250,146,122,18
40,0.15,HDBSCAN,275,254,88,67
40,0.2,HDBSCAN,305,350,72,117
40,0.25,HDBSCAN,339,453,67,181
40,0.3,HDBSCAN,369,553,50,234
40,0.35,HDBSCAN,408,691,43,326
40,0.4,HDBSCAN,465,881,52,468
40,0.45,HDBSCAN,540,1110,38,608
40,0.5,HDBSCAN,608,1389,38,819
40,0.55,HDBSCAN,710,2518,33,1841
40,0.6,HDBSCAN,867,3978,29,3140
40,0.65,HDBSCAN,1080,5892,25,4837
40,0.7,HDBSCAN,1384,10849,21,9486
40,0.75,HDBSCAN,1805,18510,25,16730
40,0.8,HDBSCAN,2639,40733,22,38116
40,0.85,HDBSCAN,4372,119358,24,115010
50,0.1,HDBSCAN,254,134,132,12
50,0.15,HDBSCAN,274,201,103,30
50,0.2,HDBSCAN,306,298,78,70
50,0.25,HDBSCAN,350,468,63,181
50,0.3,HDBSCAN,398,571,65,238
50,0.35,HDBSCAN,449,781,41,373
50,0.4,HDBSCAN,500,991,32,523
50,0.45,HDBSCAN,603,1302,31,730
50,0.5,HDBSCAN,688,1656,29,997
50,0.55,HDBSCAN,807,2999,31,2223
50,0.6,HDBSCAN,982,4669,30,3717
50,0.65,HDBSCAN,1185,6793,18,5626
50,0.7,HDBSCAN,1537,12569,25,11057
50,0.75,HDBSCAN,1963,21547,16,19600
50,0.8,HDBSCAN,2844,46529,21,43706
50,0.85,HDBSCAN,4491,130915,12,126436
5,0.1,AdaptiveAgglom,912,242,700,30
5,0.15,AdaptiveAgglom,1072,423,732,83
